Data Set,Consumer Count,Consumers
1. Camera & Lens Data - 1.1 Manual Camera Data Collection,7,"2nd Unit Team, 3d Conversion Vendor, Additional Photography Team, Postviz Vendor, Previz Vendor, Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
1. Camera & Lens Data - 1.2 Camera Type & Model,8,"3d Conversion Vendor, Additional Photography Team, Dailies And DI Vendor, Post Production Vendor, Previz Vendor, Studio Marketing, VFX Editorial, VFX Post Production Vendor"
1. Camera & Lens Data - 1.3 Per take Sensor Metadata,6,"2nd Unit Team, 3d Conversion Vendor, Additional Photography Team, Dailies And DI Vendor, Previz Vendor, VFX Post Production Vendor"
1. Camera & Lens Data - 1.4 Per Camera Lens Specifications,5,"3d Conversion Vendor, Previz Vendor, Studio Marketing For Commercial Or Game Creation, VFX Editorial, VFX Post Production Vendor"
1. Camera & Lens Data - 1.5 Lens Encoder Tracking Data,5,"3d Conversion Vendor, Previz Vendor, Studio Marketing For Commercial Or Game Creation, VFX Editorial, VFX Post Production Vendor"
1. Camera & Lens Data - 1.6 Camera Depth Information,5,"2nd Unit Team, 3d Conversion Vendor, Previz Vendor, Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
2. Witness Cameras & Reference Video - 2.1 Multiple Witness Cameras,4,"If Cameras Are Placed To Capture Head-to-toe Actors (and Preferably Synched) Can Be Used For Postviz-level Mocap, Previz Vendor, Studio Marketing For Behind-the-scenes Content, VFX Post Production Vendor"
2. Witness Cameras & Reference Video - 2.2 Overhead & Wide-Angle BTS Coverage,3,"Previz Vendor, Studio Marketing For Behind The Scenes Content, VFX Post Production Vendor"
2. Witness Cameras & Reference Video - 2.3 Real-World Depth Information,5,"Art Department During Principal Photography, Previz Vendor, Studio Marketing For Game Or Commercial Creation, Stunt Team During Principal Photography, VFX Post Production Vendor"
3. Production Reports & Metadata - 3.1 Camera Reports,8,"2nd Unit Team, Additional Photography Team, Art Department, Editorial, Hot Cost Reports, Previz Vendor, Script Supervisor, VFX Post Production Vendor"
3. Production Reports & Metadata - 3.2 Clips Report,5,"Dailies Vendor, Editorial, Script Supervisor, VFX Data Wrangler, VFX Dpm"
3. Production Reports & Metadata - 3.3 Shooting Day Report,6,"Assistant Director, Line Producer, Script Supervisor, UPM, VFX Editorial, VFX Production Team"
3. Production Reports & Metadata - 3.4 Sound Report,4,"Editorial, Motion Capture Vendor, VFX Department, Virtual Production Department"
3. Production Reports & Metadata - 3.5 Schedule and One-Liner,8,"Actors, All Department, Dailies Vendor, Editorial, Entire Film Crew, Post Production, Producers, Studio"
3. Production Reports & Metadata - 3.6 Script Supervisor Notes,9,"2nd Unit Team, Additional Photography Team, Assistant Director, Camera Department, Costume Department, Editorial, Hair And Makeup, Sound Department, VFX Department"
4. Colour & Lighting Reference - 4.1 Colour Charts,1,VFX Post Production Vendor
4. Colour & Lighting Reference - 4.2 HDRIs,2,"Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
4. Colour & Lighting Reference - 4.3 Lighting Reference Objects/Props,2,"Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
4. Colour & Lighting Reference - 4.4 DMX/Lighting Control Metadata,3,"Post Production, VFX Post Production Vendor, Virtual Production Department"
4. Colour & Lighting Reference - 4.5 Light Sources & Colour Temperature,4,"Additional Photography Team, Previz Vendor, Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
4. Colour & Lighting Reference - 4.6 Shadow Behavior & Falloff,4,"Additional Photography Team, Previz Vendor, Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
"5. Set, Prop, and Actor Scans - 5.1 LIDAR Scans / Texture Photography",7,"Art Department, Previz, Studio Marketing For Commercial Or Game Creation, Stunt Department, VFX Post Production Vendor, VFX Production Team In Additional Photography, Vendor Creating LED Volume Content"
"5. Set, Prop, and Actor Scans - 5.2 Prop Scans",6,"Additional Photography Team, Art Department, Previz Vendor, Studio Marketing For Commercial Or Game Creation, Stunt Department, VFX Post Production Vendor"
"5. Set, Prop, and Actor Scans - 5.3 Photogrammetry",6,"Additional Photography Team, Art Department, Previz Vendor, Studio Marketing For Commercial Or Game Creation, Stunt Department, VFX Post Production Vendor"
"5. Set, Prop, and Actor Scans - 5.4 NERFs, Gaussian Splats",7,"Additional Photography Team, Art Department, Previz Vendor, Studio Marketing For Commercial Or Game Creation, Stunt Department (previs Team), VFX Post Production Vendor, Virtual Production Department / Icvfx"
"5. Set, Prop, and Actor Scans - 5.5 Face Scans, Body Scans",4,"Animation / Cinematics Vendor, Previz Vendor, Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
"5. Set, Prop, and Actor Scans - 5.6 Set Reference Photography",2,"Studio Marketing For Behind The Scenes Content, VFX Post Production Vendor"
"5. Set, Prop, and Actor Scans - 5.7 Costume, Face Marker, and T-Pose Reference",3,"Previz Vendor, Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
"5. Set, Prop, and Actor Scans - 5.8 Reference of Vehicles, Props, Production Locations",3,"Previz Vendor, Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
6. Camera Rig & Technical Specs - 6.1 Camera Tech Specs,5,"Camera Department, Dailies And DI Vendor, Previz Vendor, Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
6. Camera Rig & Technical Specs - 6.2 DIT Specs,4,"Camera Department, DI Vendor, Studio Marketing For Commercial Or Game Creation, VFX Post Production Vendor"
6. Camera Rig & Technical Specs - 6.3 Lens Specification,2,"Previz Vendor, VFX Post Production Vendor"
7. Vendor & Pre-Production Data from VFX Vendor to Production. - 7.1 Previz/Techviz,10,"2nd Unit Team, Art Department, Assistant Director, Director, Entire Crew Pending Approvals And Confidentiality, Producers, Special Effects, Studio, Stunt Department, VFX Production Team"
"7. Vendor & Pre-Production Data from VFX Vendor to Production. - 7.2 Concept Art, Lookdev, Character Designs, R&D, Storyboards",6,"2nd Unit Team, Entire On-set Crew To See Director’s Vision, Previz Vendor, Studio Executives When Pitching Concepts, Studio Marketing For Behind The Scenes Content, VFX Post Production Vendor"
8. Mocap Data - 8.1 Mocap Suit Tracking,3,"Game Studios, Previz Vendor, VFX Post Production Vendor"
8. Mocap Data - 8.2 Performance Capture Facial Tracking,1,VFX Post Production Vendor
8. Mocap Data - 8.3 Hand/Finger Tracking,3,"Game Studios, Previz Vendor, VFX Post Production Vendor"
8. Mocap Data - 8.4 Raw Animation Data & Retargeting Settings,3,"Game Studios, Previz Vendor, VFX Post Production Vendor"
8. Mocap Data - 8.5 Motion Capture Volume Data,2,"Game Studios, VFX Post Production Vendor"
9. Camera Tracking & Sync - 9.1 Camera Tracking Data,2,"Previz Vendor, VFX Post Production Vendor"
9. Camera Tracking & Sync - 9.2 Timecode Sync & Genlock,4,"Audio, Camera, Post Production Vendor, Virtual Production Department"
9. Camera Tracking & Sync - 9.3 IMU Data,3,"Motion Capture Vendor, VFX Post Production Vendor, Virtual Production Department"
10. LED Volume & Environment Data - 10.1 Volume Layout & Dimensions,3,"VFX Post Production Vendor, Virtual Art Department, Virtual Production Department - Stage Team"
10. LED Volume & Environment Data - 10.2 Display Frustum Calibration,3,"Postviz Vendor (camera Path Smoothing), VFX Post Production Vendor, Virtual Production Department - Stage Team"
10. LED Volume & Environment Data - 10.3 Colour Profile & Brightness Settings,2,"Post Production Vendor, VFX Post Production Vendor"
10. LED Volume & Environment Data - 10.4 Latency Data,3,"Audio, Post Production Vendor, VFX Post Production Vendor"
10. LED Volume & Environment Data - 10.5 Plate vs. Real-Time Rendered Assets,3,"VFX Post Production Vendor, VFX Production Team, Virtual Production Department - Stage Team"
11. Scene Metadata & Notes - 11.1 Virtual Production Log and Continuity Notes,1,VFX Post Production Vendor
11. Scene Metadata & Notes - 11.2 Virtual Production Operator Metadata,1,VFX Post Production Vendor
11. Scene Metadata & Notes - 11.3 On-Set Real-Time Adjustments,1,VFX Post Production Vendor
12. Audio & Sync Data - 12.1 Sound Slate & Timecode Alignment,4,"Camera Department, Sound Department, VFX Post Production Vendor, Virtual Production Department - Stage Team"
12. Audio & Sync Data - 12.2 Spatial Audio Tracking Metadata,2,"Post Production Vendor, Sound Mixer"
12. Audio & Sync Data - 12.3 Lip sync and character audio,2,"Editorial, VFX Post Production Vendor"
"13. Data from Other Production Departments - 13.1 Physical Props, Costumes",1,VFX Post Production Vendor
13. Data from Other Production Departments - 13.2 Mudmaps,7,"2nd Unit Team, Actors, Director, Editorial, Previz Vendor, Stunt Performer, VFX Production Team"
"13. Data from Other Production Departments - 13.3 Storyboards, Previz, Techviz, Stuntviz",12,"2nd Unit Team, Art Department, Assistant Director, Director, Entire Crew Pending Approvals And Confidentiality, Producers, Special Fx, Studio Executives, Studio Marketing, Stunt Department, VFX Post Production Vendor, VFX Production Team"
13. Data from Other Production Departments - 13.4 Art Department Assets,7,"2nd Unit Team, Additional Photography Team, Editorial, Marketing, Previz Vendor, Studio Executives, VFX Post Production Vendor"
"14. Data Shared with VFX Vendors During Principal Photography - 14.1 Previz, Techviz, Concept Art",1,VFX Post Production Vendor
14. Data Shared with VFX Vendors During Principal Photography - 14.2 Lens Grid and Reference Specs,1,VFX Post Production Vendor
"15. Data Management, Tracking, and Review - 15.1 Production Tracking Systems",2,"VFX Post Production Vendor, VFX Production Team"
"15. Data Management, Tracking, and Review - 15.2 Descriptive File Naming",8,"Any Entity Using This Data, DI Vendor, Editorial, Marketing, Previz Vendor, Studio Executives, VFX Post Production Vendor, VFX Production Team"
"15. Data Management, Tracking, and Review - 15.3 Review Tools",8,"2nd Unit Team, Actors, Director, Editorial, Previz Vendor, Studio Executives, Stunt Department, VFX Production Team"
"15. Data Management, Tracking, and Review - 15.4 Show Technical Specifications",1,VFX Post Production Vendor
16 Plate Deliverables - 16.1 Naming Conventions and Metadata,3,"Marketing, VFX Post Production Vendor, Virtual Production Department"
